CLIENTE,PRODUCTO,CIUDAD,VENDEDOR,ESTADO,VALOR VENTA,Comision,Otro
Valentina Alzate,Kerosene,CALI,Alzate Val,Abierto,7534719,210972,132
Juliana Pérez,Kerosene,SANTA MARTA,Pérez Jul,Cerrado,1928389,53994,892
Valentina Zapata,Kerosene,NEIVA,Gómez Man,Abierto,2355000,65940
Alejandro Rodríguez,Acetona ,MEDELLIN,Zapata Val,Abierto,3168000,88704
Manuela Gómez,Kerosene,PASTO,Betancur Man,Abierto,2040000,57120
Juan Cardona,Acido Clorhidrico-Muriático,MEDELLIN,Sánchez Mar,Abierto,4445038,124461,064
Diego Zapata,Eter Etílico,BOGOTA,Muriel Nat,Ingresado,2691583,75364,324
Valentina De Los Ríos,Acetileno,NEIVA,Pérez Jul,Pendiente envío,3700000,103600
Alejandro Rodríguez,Alquitran,MONTERIA,Cely Lui,Abierto,19157597,536412,716
Manuela Betancur,Eter Etílico,MEDELLIN,Grajales Cri,Pendiente envío,11143330,312013,24
Manuela Gómez,Toluol,BOGOTA,De Los Ríos Val,Pendiente envío,1720523,48174,644
Natalia Zapata,Acido Clorhidrico-Muriático,BOGOTA,Cely Lui,Abierto,2046528,57302,784
Cristián Grajales,Gas,SINCELEJO,Arenas And,Abierto,1570528,43974,784
Manuela Betancur,Cloruro de Amonio,TULUA,Betancur Man,Pendiente envío,2744253,76839,084
Manuela Zapata,Acetileno,MONTERIA,Sánchez Mar,Abierto,1841360,51558,08
Juliana Pérez,Acetileno,SANTA MARTA,Sánchez Mar,Abierto,7886245,220814,86
Andrea Arenas,Cloruro de Amonio,PASTO,Sánchez Mar,Abierto,2550000,71400
Valentina Alzate,Acetileno,MEDELLIN,Cardona Jua,Abierto,2209090,61854,52
Geraldine Ortiz,Kerosene,MEDELLIN,García Val,Ingresado,3074623,86089,444
Valentina Zapata,Cloruro de Amonio,VALLEDUPAR,Betancur Man,Abierto,10240048,286721,344
Manuela Zapata,Eter Etílico,BOGOTA,Ortiz Ger,Pendiente envío,3902109,109259,052
Valentina Alzate,Kerosene,MEDELLIN,Ortiz Ger,Abierto,3332800,93318,4
Nataly Muriel,Acido Clorhidrico-Muriático,IBAGUE,Vanegas Cam,Ingresado,1950000,54600
Clara Sánchez,Kerosene,BOGOTA,Sánchez Mar,Cerrado,3509995,98279,86
Manuela Gómez,Alquitran,VALLEDUPAR,Zapata Val,Ingresado,1564776,43813,728
Diego Zapata,Kerosene,MEDELLIN,Rodríguez Ale,Abierto,1432125,40099,5
Manuela Zapata,Cloruro de Amonio,ARMENIA,Zapata Man,Pendiente envío,1564637,43809,836
Natalia Zapata,Acido Clorhidrico-Muriático,NEIVA,García Val,Abierto,2077683,58175,124
Nataly Muriel,Gas,PEREIRA,Arenas And,Abierto,10660855,298503,94
Camila Vanegas,Acido Sulfúrico,CUCUTA,Zapata Die,Pendiente envío,43711820,1223930,96
Diego Zapata,Alquitran,MEDELLIN,Gómez Man,Ingresado,3015620,84437,36
Andrea Arenas,Acetileno,IBAGUE,Cely Lui,Abierto,26187811,733258,708
Geraldine Ortiz,Kerosene,BOGOTA,Arenas And,Pendiente envío,1456790,40790,12
Andrea Arenas,Alquitran,SANTA MARTA,Alzate Val,Cerrado,2836654,79426,312
Valentina De Los Ríos,Toluol,BUCARAMANGA,Pérez Jul,Ingresado,1488750,41685
Juan Cardona,Alquitran,NEIVA,Zapata Die,Abierto,3677838,102979,464
Nataly Muriel,Acido Clorhidrico-Muriático,MEDELLIN,Cely Lui,Abierto,8097746,226736,888
Luisa Cely,Acido Sulfúrico,PASTO,Sánchez Mar,Pendiente envío,2613226,73170,328
Diego Zapata,Acetileno,PEREIRA,Pérez Jul,Abierto,4159783,116473,924
Alejandro Rodríguez,Acetileno,PASTO,Vanegas Cam,Abierto,2557760,71617,28
Luisa Cely,Toluol,BOGOTA,Ortiz Ger,Abierto,1725903,48325,284
Camila Vanegas,Acido Sulfúrico,MEDELLIN,Zapata Nat,Ingresado,3464976,97019,328
Valentina Zapata,Eter Etílico,PASTO,Gómez Man,Abierto,1680946,47066,488
Valentina Alzate,Eter Etílico,NEIVA,Zapata Nat,Abierto,4705949,131766,572
Valentina Alzate,Alquitran,MEDELLIN,Zapata Nat,Abierto,3076425,86139,9
Manuela Betancur,Acetileno,ARMENIA,Muriel Nat,Abierto,1865888,52244,864
Diego Zapata,Acido Clorhidrico-Muriático,PASTO,Ortiz Ger,Abierto,2450000,68600
Valentina De Los Ríos,Acido Clorhidrico-Muriático,IBAGUE,Grajales Cri,Abierto,18534018,518952,504
Clara Sánchez,Cloruro de Amonio,BOGOTA,Muriel Nat,Abierto,6102660,170874,48
Andrea Arenas,Kerosene,MEDELLIN,De Los Ríos Val,Pendiente envío,1661241,46514,748
Andrea Arenas,Kerosene,BOGOTA,Zapata Die,Pendiente envío,5808979,162651,412
Nataly Muriel,Acetileno,NEIVA,Betancur Man,Abierto,1814163,50796,564
Diego Zapata,Kerosene,MEDELLIN,Muriel Nat,Abierto,3511925,98333,9
Manuela Gómez,Acido Sulfúrico,BOGOTA,Zapata Die,Abierto,9840000,275520
Valerie Zapata,Gas,NEIVA,Gómez Man,Pendiente envío,2372582,66432,296
Manuela Betancur,Acido Sulfúrico,CARTAGENA,Zapata Die,Abierto,15116945,423274,46
Manuela Betancur,Gas,CALDAS,Vanegas Cam,Abierto,9174000,256872
Juan Cardona,Acido Clorhidrico-Muriático,BOGOTA,De Los Ríos Val,Abierto,1924720,53892,16
Valentina García,Alquitran,NEIVA,Betancur Man,Abierto,1750000,49000
Valentina De Los Ríos,Cloruro de Amonio,BOGOTA,Zapata Val,Abierto,1350753,37821,084
Nataly Muriel,Alquitran,BOGOTA,Alzate Val,Abierto,1502863,42080,164
Juliana Pérez,Acetona ,IBAGUE,Grajales Cri,Abierto,2128296,59592,288
Manuela Zapata,Acido Sulfúrico,BOGOTA,Zapata Man,Abierto,5841244,163554,832
Manuela Betancur,Acido Clorhidrico-Muriático,CALI,Betancur Man,Abierto,7113994,199191,832
Natalia Zapata,Kerosene,BOGOTA,Zapata Die,Ingresado,4024806,112694,568
Manuela Zapata,Toluol,PEREIRA,Rodríguez Ale,Ingresado,4177568,116971,904
Nataly Muriel,Eter Etílico,SINCELEJO,Muriel Nat,Abierto,15925000,445900
Cristián Grajales,Eter Etílico,MEDELLIN,Rodríguez Ale,Abierto,3091600,86564,8
Juliana Pérez,Gas,BOGOTA,Muriel Nat,Abierto,6433132,180127,696
Manuela Betancur,Kerosene,MEDELLIN,Muriel Nat,Pendiente envío,225624583,6317488,324
Geraldine Ortiz,Kerosene,MEDELLIN,Betancur Man,Pendiente envío,8114000,227192
Manuela Gómez,Eter Etílico,NEIVA,Gómez Man,Ingresado,2341625,65565,5
Valentina Zapata,Acido Clorhidrico-Muriático,BOGOTA,Grajales Cri,Abierto,1420209,39765,852
Diego Zapata,Cloruro de Amonio,BUCARAMANGA,Rodríguez Ale,Abierto,1762911,49361,508
Geraldine Ortiz,Acido Clorhidrico-Muriático,VALLEDUPAR,Rodríguez Ale,Pendiente envío,5253632,147101,696
Valentina Alzate,Kerosene,POPAYAN,Vanegas Cam,Pendiente envío,2731118,76471,304
Diego Zapata,Toluol,BOGOTA,Arenas And,Abierto,6522366,182626,248
Cristián Grajales,Acido Clorhidrico-Muriático,BOGOTA,Zapata Val,Abierto,6303214,176489,992
Camila Vanegas,Acetileno,PEREIRA,Ortiz Ger,Abierto,2820433,78972,124
Manuela Zapata,Acetileno,POPAYAN,Cely Lui,Pendiente envío,36451024,1020628,672
Clara Sánchez,Kerosene,TULUA,Betancur Man,Abierto,5000000,140000
Diego Zapata,Acido Clorhidrico-Muriático,MEDELLIN,Cardona Jua,Abierto,2182852,61119,856
Valentina De Los Ríos,Acido Sulfúrico,MEDELLIN,Rodríguez Ale,Abierto,3500000,98000
Manuela Betancur,Gas,BOGOTA,Cely Lui,Abierto,1493417,41815,676
Clara Sánchez,Cloruro de Amonio,BOGOTA,Ortiz Ger,Pendiente envío,6619528,185346,784
Nataly Muriel,Alquitran,NEIVA,De Los Ríos Val,Abierto,3667138,102679,864
Juan Cardona,Kerosene,BOGOTA,Grajales Cri,Pendiente envío,1837557,51451,596
Juan Cardona,Eter Etílico,BOGOTA,Cardona Jua,Cerrado,3799756,106393,168
Diego Zapata,Acetileno,CALI,Vanegas Cam,Pendiente envío,6966404,195059,312
Manuela Zapata,Acetileno,VILLAVICENCIO,Vanegas Cam,Abierto,1490554,41735,512
Juan Cardona,Cloruro de Amonio,BOGOTA,García Val,Abierto,1558862,43648,136
Valentina García,Acetileno,MEDELLIN,Alzate Val,Cerrado,4717560,132091,68
Valentina Zapata,Gas,MEDELLIN,Rodríguez Ale,Abierto,3087854,86459,912
Alejandro Rodríguez,Eter Etílico,MEDELLIN,Pérez Jul,Abierto,1585975,44407,3
Juliana Pérez,Toluol,CALI,Muriel Nat,Abierto,6913878,193588,584
Alejandro Rodríguez,Acetileno,BOGOTA,Ortiz Ger,Cerrado,5878603,164600,884
Valerie Zapata,Kerosene,MEDELLIN,Sánchez Mar,Abierto,20473029,573244,812
Manuela Betancur,Acetileno,BOGOTA,Vanegas Cam,Abierto,1401597,39244,716
Cristián Grajales,Gas,BOGOTA,Zapata Man,Abierto,2206084,61770,352
Juan Cardona,Cloruro de Amonio,MEDELLIN,García Val,Abierto,1486470,41621,16
Andrea Arenas,Acetileno,BOGOTA,Rodríguez Ale,Abierto,6732217,188502,076
Natalia Zapata,Acido Clorhidrico-Muriático,POPAYAN,Sánchez Mar,Abierto,1580970,44267,16
Juan Cardona,Eter Etílico,MEDELLIN,Rodríguez Ale,Pendiente envío,1911769,53529,532
Juan Cardona,Cloruro de Amonio,MEDELLIN,García Val,Abierto,3181422,89079,816
Valentina De Los Ríos,Acetileno,BOGOTA,Cely Lui,Pendiente envío,2243794,62826,232
Luisa Cely,Acetileno,ARMENIA,Sánchez Mar,Abierto,4814964,134818,992
Valentina Zapata,Kerosene,PASTO,Betancur Man,Abierto,4919503,137746,084
Luisa Cely,Acetona ,MEDELLIN,Zapata Die,Cerrado,1700000,47600
Valentina Zapata,Eter Etílico,MEDELLIN,Grajales Cri,Abierto,1814582,50808,296
Nataly Muriel,Acetona ,CALI,Grajales Cri,Ingresado,3125000,87500
Natalia Zapata,Acetileno,BOGOTA,Zapata Nat,Abierto,1901988,53255,664
Manuela Betancur,Acido Sulfúrico,NEIVA,Vanegas Cam,Abierto,3648000,102144
Valentina Zapata,Acetileno,BOGOTA,Gómez Man,Abierto,2624346,73481,688
Valentina Alzate,Toluol,PASTO,Betancur Man,Abierto,1620024,45360,672
Cristián Grajales,Kerosene,BOGOTA,Arenas And,Abierto,3711455,103920,74
Manuela Betancur,Acetileno,TULUA,Vanegas Cam,Abierto,7994082,223834,296
Manuela Betancur,Acido Sulfúrico,CALI,García Val,Abierto,7000000,196000
Diego Zapata,Alquitran,BOGOTA,Arenas And,Ingresado,1787500,50050
Andrea Arenas,Acido Clorhidrico-Muriático,BOGOTA,Cardona Jua,Cerrado,2708921,75849,788
Natalia Zapata,Kerosene,POPAYAN,Grajales Cri,Abierto,13038850,365087,8
Alejandro Rodríguez,Acetileno,BOGOTA,Gómez Man,Pendiente envío,2037082,57038,296
Manuela Zapata,Acetileno,VALLEDUPAR,Zapata Die,Abierto,1635393,45791,004
Juliana Pérez,Toluol,PEREIRA,Gómez Man,Abierto,1866098,52250,744
Valerie Zapata,Gas,PASTO,Zapata Die,Ingresado,2515212,70425,936
Cristián Grajales,Acetileno,PASTO,Arenas And,Abierto,2600000,72800
Juan Cardona,Toluol,POPAYAN,Zapata Val,Abierto,29271968,819615,104
Diego Zapata,Acetileno,BOGOTA,Sánchez Mar,Pendiente envío,2020476,56573,328
Cristián Grajales,Toluol,PASTO,Arenas And,Cerrado,2505293,70148,204
Valentina Alzate,Acetileno,MEDELLIN,Zapata Nat,Pendiente envío,3354297,93920,316
Geraldine Ortiz,Acido Clorhidrico-Muriático,MANIZALES,Zapata Nat,Abierto,5128093,143586,604
Juan Cardona,Eter Etílico,BARRANQUILLA,Zapata Man,Abierto,1874802,52494,456
Manuela Zapata,Cloruro de Amonio,NEIVA,Zapata Nat,Abierto,2266607,63464,996
Natalia Zapata,Acetileno,BOGOTA,Sánchez Mar,Abierto,2651693,74247,404
Juliana Pérez,Acetileno,POPAYAN,Rodríguez Ale,Abierto,13965472,391033,216
Juliana Pérez,Acido Sulfúrico,PEREIRA,Vanegas Cam,Ingresado,19060503,533694,084
Valentina Alzate,Eter Etílico,MEDELLIN,Arenas And,Abierto,3496640,97905,92
Clara Sánchez,Acido Sulfúrico,MEDELLIN,Alzate Val,Cerrado,3115800,87242,4
Diego Zapata,Gas,NEIVA,Muriel Nat,Abierto,3652312,102264,736
Camila Vanegas,Eter Etílico,BOGOTA,Sánchez Mar,Abierto,2207059,61797,652
Manuela Betancur,Gas,SINCELEJO,Cardona Jua,Abierto,4899924,137197,872
Valentina García,Eter Etílico,MEDELLIN,Zapata Val,Abierto,8871565,248403,82
Manuela Betancur,Gas,BOGOTA,Muriel Nat,Abierto,2173280,60851,84
Natalia Zapata,Acetileno,MANIZALES,Zapata Die,Abierto,14162227,396542,356
Camila Vanegas,Acido Sulfúrico,MEDELLIN,De Los Ríos Val,Abierto,1930602,54056,856
Juliana Pérez,Kerosene,TULUA,Cardona Jua,Abierto,1570000,43960
Valentina García,Kerosene,PEREIRA,Cardona Jua,Cerrado,2788009,78064,252
Valentina Alzate,Acetileno,MEDELLIN,Zapata Die,Ingresado,2083296,58332,288
Valentina Zapata,Gas,PASTO,Gómez Man,Pendiente envío,2395199,67065,572
Natalia Zapata,Acido Sulfúrico,BOGOTA,Pérez Jul,Cerrado,2716438,76060,264
Alejandro Rodríguez,Acetona ,VILLAVICENCIO,Cardona Jua,Abierto,1820255,50967,14
Camila Vanegas,Acido Sulfúrico,IBAGUE,Zapata Man,Abierto,9151828,256251,184
Manuela Gómez,Acetileno,MEDELLIN,Alzate Val,Cerrado,3461465,96921,02
Camila Vanegas,Acetona ,MEDELLIN,Betancur Man,Abierto,1786743,50028,804
Clara Sánchez,Acido Clorhidrico-Muriático,BOGOTA,Gómez Man,Abierto,4984938,139578,264
Manuela Gómez,Toluol,NEIVA,Cardona Jua,Cerrado,2347810,65738,68
Clara Sánchez,Toluol,BOGOTA,Zapata Val,Cerrado,2118065,59305,82
Geraldine Ortiz,Toluol,BOGOTA,Cardona Jua,Pendiente envío,1414795,39614,26
Valentina Zapata,Cloruro de Amonio,CARTAGENA,Zapata Val,Abierto,5198606,145560,968
Valentina García,Cloruro de Amonio,PEREIRA,Zapata Man,Ingresado,2822341,79025,548
Cristián Grajales,Gas,PEREIRA,Zapata Val,Abierto,2871174,80392,872
Natalia Zapata,Acido Clorhidrico-Muriático,BOGOTA,Sánchez Mar,Abierto,1426750,39949
Juliana Pérez,Acido Clorhidrico-Muriático,BUCARAMANGA,Alzate Val,Abierto,1677028,46956,784
Luisa Cely,Acetileno,MEDELLIN,Zapata Val,Cerrado,1432726,40116,328
Diego Zapata,Acido Sulfúrico,BOGOTA,García Val,Abierto,2028504,56798,112
Camila Vanegas,Acetileno,BOGOTA,Zapata Val,Abierto,1604164,44916,592
Manuela Betancur,Alquitran,PASTO,Zapata Val,Abierto,2445882,68484,696
Manuela Zapata,Kerosene,MEDELLIN,Zapata Val,Pendiente envío,9082630,254313,64
Natalia Zapata,Acido Sulfúrico,PASTO,Zapata Die,Pendiente envío,2477254,69363,112
Manuela Zapata,Acido Clorhidrico-Muriático,MEDELLIN,García Val,Ingresado,2119950,59358,6
Nataly Muriel,Acetona ,VILLAVICENCIO,De Los Ríos Val,Abierto,12370065,346361,82
Valentina García,Acido Clorhidrico-Muriático,CARTAGENA,Alzate Val,Ingresado,26940000,754320
Andrea Arenas,Acido Clorhidrico-Muriático,BOGOTA,Arenas And,Abierto,2164436,60604,208
Alejandro Rodríguez,Toluol,BOGOTA,Muriel Nat,Pendiente envío,2073640,58061,92
Valentina Zapata,Gas,CUCUTA,Cardona Jua,Abierto,2167495,60689,86
Luisa Cely,Acetileno,BOGOTA,Gómez Man,Abierto,3845886,107684,808
Clara Sánchez,Acetileno,CALDAS,Alzate Val,Abierto,1611458,45120,824
Valerie Zapata,Alquitran,BOGOTA,Sánchez Mar,Abierto,1413502,39578,056
Clara Sánchez,Cloruro de Amonio,PASTO,De Los Ríos Val,Abierto,1833771,51345,588
Manuela Gómez,Kerosene,POPAYAN,García Val,Abierto,10577732,296176,496
Cristián Grajales,Toluol,BOGOTA,Alzate Val,Pendiente envío,6497183,181921,124
Clara Sánchez,Acetona ,MEDELLIN,Zapata Val,Abierto,13339110,373495,08
Camila Vanegas,Acetona ,BOGOTA,Cely Lui,Abierto,1769627,49549,556
Valentina De Los Ríos,Gas,BOGOTA,Zapata Val,Cerrado,2622333,73425,324
Clara Sánchez,Acido Clorhidrico-Muriático,BOGOTA,De Los Ríos Val,Cerrado,6572476,184029,328
Nataly Muriel,Acido Sulfúrico,PEREIRA,Betancur Man,Abierto,2919615,81749,22
Natalia Zapata,Gas,VILLAVICENCIO,Ortiz Ger,Abierto,1598560,44759,68
Valentina Zapata,Acetileno,MEDELLIN,Zapata Die,Cerrado,3510712,98299,936
Camila Vanegas,Acido Sulfúrico,ARMENIA,Cardona Jua,Cerrado,1608198,45029,544
Manuela Gómez,Acido Sulfúrico,NEIVA,Arenas And,Ingresado,2385930,66806,04
Camila Vanegas,Cloruro de Amonio,PASTO,Arenas And,Ingresado,1720000,48160
Natalia Zapata,Acetileno,PASTO,Rodríguez Ale,Abierto,2399944,67198,432
Cristián Grajales,Gas,POPAYAN,García Val,Cerrado,1532741,42916,748
Clara Sánchez,Cloruro de Amonio,BOGOTA,Rodríguez Ale,Abierto,6696293,187496,204
Camila Vanegas,Toluol,CALI,Gómez Man,Abierto,10996519,307902,532
Valentina García,Acido Sulfúrico,VALLEDUPAR,Betancur Man,Abierto,1531650,42886,2
Valentina Zapata,Gas,BOGOTA,Rodríguez Ale,Cerrado,2020096,56562,688
Valentina García,Acido Sulfúrico,SANTA MARTA,Vanegas Cam,Abierto,13017275,364483,7
Alejandro Rodríguez,Acido Sulfúrico,BOGOTA,Zapata Die,Abierto,1846164,51692,592
Luisa Cely,Eter Etílico,POPAYAN,García Val,Abierto,16427362,459966,136
Luisa Cely,Kerosene,POPAYAN,Muriel Nat,Abierto,7939165,222296,62
Luisa Cely,Cloruro de Amonio,CALI,Ortiz Ger,Abierto,5204249,145718,972
Natalia Zapata,Kerosene,NEIVA,García Val,Abierto,1868789,52326,092
Manuela Betancur,Alquitran,BUCARAMANGA,De Los Ríos Val,Ingresado,37527957,1050782,796
Manuela Zapata,Acetileno,PASTO,Pérez Jul,Ingresado,2424183,67877,124
Juan Cardona,Eter Etílico,PASTO,Cely Lui,Abierto,2520000,70560
Alejandro Rodríguez,Acetileno,BOGOTA,Grajales Cri,Abierto,2012685,56355,18
Juliana Pérez,Acido Sulfúrico,MEDELLIN,Betancur Man,Abierto,4401588,123244,464
Valentina De Los Ríos,Gas,BARRANQUILLA,Grajales Cri,Cerrado,1590698,44539,544
Juan Cardona,Toluol,NEIVA,Cardona Jua,Ingresado,1799804,50394,512
Manuela Zapata,Acido Clorhidrico-Muriático,BARRANQUILLA,Cardona Jua,Ingresado,5691226,159354,328
Geraldine Ortiz,Toluol,CALDAS,Rodríguez Ale,Abierto,10292056,288177,568
Geraldine Ortiz,Acetileno,BOGOTA,Gómez Man,Abierto,2091972,58575,216
Diego Zapata,Acetileno,BOGOTA,Rodríguez Ale,Cerrado,2038730,57084,44
Luisa Cely,Acido Clorhidrico-Muriático,MEDELLIN,Cardona Jua,Abierto,3260983,91307,524
Valentina De Los Ríos,Acetileno,MEDELLIN,Pérez Jul,Cerrado,3286132,92011,696
Cristián Grajales,Eter Etílico,MEDELLIN,García Val,Abierto,1450000,40600
Nataly Muriel,Acido Clorhidrico-Muriático,NEIVA,Grajales Cri,Abierto,10693044,299405,232
Cristián Grajales,Gas,BOGOTA,Pérez Jul,Abierto,3760473,105293,244
Cristián Grajales,Acetona ,PEREIRA,Ortiz Ger,Ingresado,8760916,245305,648
Manuela Gómez,Cloruro de Amonio,MEDELLIN,Zapata Val,Abierto,4601050,128829,4
Camila Vanegas,Acetileno,NEIVA,Zapata Die,Abierto,2350338,65809,464
Alejandro Rodríguez,Cloruro de Amonio,NEIVA,García Val,Cerrado,2171032,60788,896
Manuela Betancur,Acetileno,MEDELLIN,Gómez Man,Abierto,3412533,95550,924
Natalia Zapata,Alquitran,BARRANQUILLA,Vanegas Cam,Abierto,1480248,41446,944
Juan Cardona,Acido Clorhidrico-Muriático,NEIVA,Zapata Die,Abierto,2315256,64827,168
Manuela Betancur,Acido Sulfúrico,BUCARAMANGA,Zapata Nat,Abierto,11398268,319151,504
Valentina García,Acido Clorhidrico-Muriático,BOGOTA,Zapata Val,Ingresado,5878499,164597,972
Cristián Grajales,Kerosene,MEDELLIN,Muriel Nat,Abierto,8363316,234172,848
Diego Zapata,Acido Sulfúrico,IBAGUE,Cely Lui,Pendiente envío,10142006,283976,168
Valerie Zapata,Acetona ,CUCUTA,Zapata Nat,Abierto,1947285,54523,98
Valentina Zapata,Acido Clorhidrico-Muriático,PASTO,Sánchez Mar,Pendiente envío,1782070,49897,96
Natalia Zapata,Kerosene,PEREIRA,Zapata Die,Pendiente envío,2750147,77004,116
Diego Zapata,Acetona ,MEDELLIN,Vanegas Cam,Pendiente envío,3579294,100220,232
Nataly Muriel,Acetileno,VILLAVICENCIO,Zapata Die,Abierto,1900000,53200
Juan Cardona,Acido Clorhidrico-Muriático,MEDELLIN,Arenas And,Abierto,4194390,117442,92
Valentina De Los Ríos,Acetona ,NEIVA,Muriel Nat,Cerrado,5009476,140265,328
Natalia Zapata,Acetona ,BOGOTA,Muriel Nat,Abierto,2631041,73669,148
Camila Vanegas,Acido Sulfúrico,BOGOTA,Cardona Jua,Abierto,1353442,37896,376
Geraldine Ortiz,Toluol,SANTA MARTA,Alzate Val,Pendiente envío,30356852,849991,856
Luisa Cely,Alquitran,PASTO,Zapata Nat,Abierto,2570859,71984,052
Cristián Grajales,Acido Clorhidrico-Muriático,VALLEDUPAR,Rodríguez Ale,Cerrado,1700037,47601,036
Andrea Arenas,Gas,MEDELLIN,Ortiz Ger,Ingresado,4565935,127846,18
Juliana Pérez,Alquitran,BOGOTA,Cardona Jua,Cerrado,2034625,56969,5
Clara Sánchez,Toluol,MEDELLIN,Rodríguez Ale,Abierto,3416586,95664,408
Camila Vanegas,Acido Clorhidrico-Muriático,PEREIRA,Zapata Nat,Abierto,2884886,80776,808
Manuela Gómez,Acetileno,BOGOTA,Alzate Val,Cerrado,3945000,110460
Valerie Zapata,Acetileno,NEIVA,Pérez Jul,Pendiente envío,1813507,50778,196
Clara Sánchez,Alquitran,MEDELLIN,Betancur Man,Abierto,14919623,417749,444
Valerie Zapata,Acetileno,MEDELLIN,Cely Lui,Abierto,4201254,117635,112
Luisa Cely,Gas,PASTO,Rodríguez Ale,Abierto,2552916,71481,648
Alejandro Rodríguez,Acetileno,MEDELLIN,Pérez Jul,Cerrado,2052344,57465,632
Camila Vanegas,Cloruro de Amonio,BARRANQUILLA,Alzate Val,Pendiente envío,5118072,143306,016
Camila Vanegas,Acetona ,BOGOTA,Zapata Nat,Abierto,2664600,74608,8
Manuela Betancur,Cloruro de Amonio,NEIVA,Zapata Val,Abierto,2363567,66179,876
Clara Sánchez,Eter Etílico,BOGOTA,Cardona Jua,Pendiente envío,2084925,58377,9
Andrea Arenas,Acetona ,MEDELLIN,Betancur Man,Abierto,3088600,86480,8
Valentina García,Eter Etílico,NEIVA,Pérez Jul,Abierto,3560000,99680
Manuela Betancur,Acido Sulfúrico,CUCUTA,Zapata Die,Pendiente envío,1578600,44200,8
Luisa Cely,Cloruro de Amonio,MONTERIA,Cely Lui,Abierto,17651126,494231,528
Valentina Alzate,Cloruro de Amonio,MEDELLIN,Pérez Jul,Abierto,1797606,50332,968
Andrea Arenas,Acetona ,PASTO,Ortiz Ger,Abierto,2517405,70487,34
Valentina Alzate,Gas,SINCELEJO,Zapata Val,Abierto,12452294,348664,232
Luisa Cely,Alquitran,MEDELLIN,Vanegas Cam,Ingresado,3420000,95760
Natalia Zapata,Kerosene,BARRANQUILLA,Muriel Nat,Abierto,1935974,54207,272
Manuela Gómez,Alquitran,MEDELLIN,Betancur Man,Abierto,1625603,45516,884
Luisa Cely,Acetileno,MEDELLIN,Vanegas Cam,Abierto,3227793,90378,204
Nataly Muriel,Cloruro de Amonio,BOGOTA,Pérez Jul,Pendiente envío,4011902,112333,256
Juliana Pérez,Eter Etílico,BOGOTA,Vanegas Cam,Abierto,1750000,49000
Juan Cardona,Gas,PASTO,Sánchez Mar,Pendiente envío,2524482,70685,496
Valentina Zapata,Alquitran,MEDELLIN,Zapata Val,Pendiente envío,3516406,98459,368
Manuela Betancur,Acido Clorhidrico-Muriático,BOGOTA,Betancur Man,Pendiente envío,2207059,61797,652
Manuela Gómez,Acido Clorhidrico-Muriático,BOGOTA,Vanegas Cam,Abierto,6800000,190400
Luisa Cely,Eter Etílico,PASTO,Grajales Cri,Abierto,1640925,45945,9
Manuela Gómez,Alquitran,PASTO,Sánchez Mar,Ingresado,1722600,48232,8
Manuela Zapata,Acetona ,MEDELLIN,Pérez Jul,Abierto,3296249,92294,972
Valentina Alzate,Acetona ,MEDELLIN,García Val,Abierto,3086416,86419,648
Juan Cardona,Acido Clorhidrico-Muriático,BOGOTA,Vanegas Cam,Abierto,2100000,58800
Juliana Pérez,Gas,BOGOTA,Zapata Nat,Ingresado,3979171,111416,788
Juan Cardona,Acetileno,NEIVA,Sánchez Mar,Abierto,2308226,64630,328
Valerie Zapata,Acido Sulfúrico,MEDELLIN,Alzate Val,Abierto,1486889,41632,892
Camila Vanegas,Toluol,NEIVA,Cely Lui,Ingresado,2282464,63908,992
Nataly Muriel,Cloruro de Amonio,PASTO,Gómez Man,Ingresado,1704323,47721,044
Diego Zapata,Toluol,VILLAVICENCIO,Grajales Cri,Ingresado,9990338,279729,464
Clara Sánchez,Acido Sulfúrico,MEDELLIN,Sánchez Mar,Abierto,3162540,88551,12
Clara Sánchez,Gas,POPAYAN,Rodríguez Ale,Abierto,5634321,157760,988
Diego Zapata,Cloruro de Amonio,MEDELLIN,Gómez Man,Pendiente envío,1409046,39453,288
Geraldine Ortiz,Gas,MEDELLIN,Zapata Die,Abierto,3039339,85101,492
Manuela Zapata,Alquitran,IBAGUE,Sánchez Mar,Ingresado,19337254,541443,112
Valerie Zapata,Kerosene,MONTERIA,Arenas And,Abierto,5113387,143174,836
Camila Vanegas,Acetileno,MEDELLIN,Vanegas Cam,Abierto,3041499,85161,972
Natalia Zapata,Acetileno,ARMENIA,Betancur Man,Abierto,1463709,40983,852
Geraldine Ortiz,Cloruro de Amonio,BOGOTA,Rodríguez Ale,Pendiente envío,2118700,59323,6
Valentina Zapata,Acido Clorhidrico-Muriático,BOGOTA,Zapata Nat,Abierto,2100000,58800
Camila Vanegas,Eter Etílico,ARMENIA,Sánchez Mar,Abierto,1805000,50540
Clara Sánchez,Acetona ,BUCARAMANGA,Rodríguez Ale,Abierto,5556000,155568
Valentina Alzate,Eter Etílico,MEDELLIN,Zapata Val,Abierto,3093750,86625
Valentina De Los Ríos,Acetileno,MEDELLIN,García Val,Ingresado,3156931,88394,068
Valentina García,Acetileno,NEIVA,De Los Ríos Val,Pendiente envío,2365810,66242,68
Juan Cardona,Acido Sulfúrico,MEDELLIN,Zapata Man,Pendiente envío,3218090,90106,52
Valentina De Los Ríos,Acetileno,BOGOTA,Rodríguez Ale,Abierto,1825701,51119,628
